acs_id,tract_name,tract_code,acs_tract,boro_code,boro,acs_county,boro_tract_code,CDEligibil,NTACode,PUMA,Shape_Leng,Shape_Area,acs_tract_code,acs_total_pop_est,acs_pct_poc,acs_pct_one_race_est,acs_pct_white_est,acs_pct_black_est,acs_pct_native&alaskan_est,acs_pct_asain_est,acs_pct_hawaiian&pi_est,acs_pct_others_est,acs_pct_two_or_more_races_est,acs_pct_hisp_lat_est,acs_pct_non-hisp_lat_white_est,acs_pct_below_100_pct_below_poverty_level_est,acs_pct_100-149_pct_above_poverty_level_est,acs_pct_150+_pct_above_poverty_level_est,acs_pct_native_born_est,acs_pct_foreign_born_est,tract_arrest_counts
1400000US36085000900,West New Brighton-New Brighton-St. George,000900,9,5,Staten Island,Richmond County,5000900,E,SI22,3903,7729.016794,2497009.698,900,1510,75.9,90.1,43.4,35.2,0,8.7,0,2.7,9.9,35.7,24.1,27.4,18.1,54.5,74.83,3.84,0
1400000US36081009800,Turtle Bay-East Midtown,009800,98,1,Manhattan,Queens County,1009800,I,MN19,3808,5534.200058,1906016.371,9800,2705,99.1,96.7,6.7,14,0,36.6,0,39.4,3.3,16.1,0.9,15.9,4.2,79.9,25.8,2,4
1400000US36081010200,Midtown-Midtown South,010200,102,1,Manhattan,Queens County,1010200,I,MN17,3807,5687.802439,1860992.705,10200,2817,92.7,90.5,13.1,13.7,0.2,44.7,0,18.7,9.5,21.8,7.3,15.8,7.5,76.7,38.87,1.06,0
1400000US36081010400,Midtown-Midtown South,010400,104,1,Manhattan,Queens County,1010400,I,MN17,3807,5693.036367,1864600.375,10400,3014,93.7,89.2,9.9,24.6,0,24.8,0,29.9,10.8,12.5,6.3,7.4,5.8,86.9,36.1,0.7,0
1400000US36081011300,Midtown-Midtown South,011300,113,1,Manhattan,Queens County,1011300,I,MN17,3807,5699.860712,1890907.312,11300,4463,47.5,97.7,74.8,2,0,12.7,0,8.2,2.3,30.1,52.5,7.1,8.8,84,51.6,2.29,2
1400000US36085011402,Upper East Side-Carnegie Hill,011402,114.02,1,Manhattan,Richmond County,1011402,I,MN40,3805,4125.256029,1063547.414,11402,3398,27.1,99.5,89,1.7,0,8.8,0,0,0.5,16.6,72.9,8.4,2.9,88.8,73.57,1.35,1
1400000US36081013000,Upper East Side-Carnegie Hill,013000,130,1,Manhattan,Queens County,1013000,I,MN40,3805,5807.972956,1918144.54,13000,1688,62.1,98.3,51.5,9.8,0,26.8,0,10.2,1.7,19.2,37.9,13.7,8,78.4,57.41,1.36,0
1400000US36081014000,Upper East Side-Carnegie Hill,014000,140,1,Manhattan,Queens County,1014000,I,MN40,3805,5820.81564,1925984.223,14000,3766,51.8,96.8,57.3,5.5,0,16.1,0,17.9,3.2,25.5,48.2,7.7,6.7,85.5,60.91,4.22,0
1400000US36061014801,Upper East Side-Carnegie Hill,014801,148.01,1,Manhattan,New York County,1014801,I,MN40,3805,3135.951423,559216.1578,14801,2810,20.2,93,85.5,0.4,0,7.1,0,0,7,6.8,79.8,2.9,1.9,95.3,78.54,0.32,0
1400000US36061018400,East Harlem North,018400,184,1,Manhattan,New York County,1018400,E,MN34,3804,5771.874098,1903568.428,18400,7116,88.4,97.4,26.8,37.5,0.9,6.7,0,25.4,2.6,47.2,11.6,37.8,14.2,48,69.03,10.95,0
1400000US36081019000,Central Harlem South,019000,190,1,Manhattan,Queens County,1019000,I,MN11,3803,4231.827087,1117371.679,19000,2455,97.6,96.9,5.1,56.3,1.1,5.7,0,28.6,3.1,18.6,2.4,8.5,3.7,87.7,52.55,1.51,1
1400000US36081020600,Central Harlem North-Polo Grounds,020600,206,1,Manhattan,Queens County,1020600,E,MN03,3803,5176.87315,1602693.822,20600,1855,90.9,99.2,11.4,21.7,0,21.6,0,44.6,0.8,39.8,9.1,9.6,16,74.3,40.16,0,2
1400000US36081024900,Washington Heights South,024900,249,1,Manhattan,Queens County,1024900,I,MN36,3801,3927.821459,652856.3608,24900,4838,81.5,99.1,36.5,2.4,1.7,53.9,0,4.6,0.9,26.6,18.5,14.6,15.4,69.9,35.43,0.64,1
1400000US36081026300,Washington Heights South,026300,263,1,Manhattan,Queens County,1026300,E,MN36,3801,5730.541914,1691892.004,26300,5857,86.9,94.5,35.5,0,0,56,0,3,5.5,28.1,13.1,13.3,7.8,78.9,40.94,1.55,7
1400000US36061026900,Washington Heights North,026900,269,1,Manhattan,New York County,1026900,E,MN35,3801,6017.036706,1889655.526,26900,8986,92.1,87.5,25,12.2,2.6,3,0,44.7,12.5,83.3,7.9,22.9,18,59.2,35.07,5.55,0
