BoroCD,Shape_Leng,Shape_Area,acs_id,acs_cd,acs_cd_neighborhood,acs_total_pop_est,acs_pct_poc,acs_pct_one_race_est,acs_pct_white_est,acs_pct_black_est,acs_pct_native&alaskan_est,acs_pct_asain_est,acs_pct_hawaiian&pi_est,acs_pct_other_race,acs_pct_two_or_more_races,acs_pct_hisp_lat_est,acs_pct_non-hisp_lat_white_est,acs_poverty_level_below_100_pct_est,acs_poverty_level_100-199_pct_est,acs_poverty_level_200+_pct_est,acs_native_born_est,acs_pct_native_born_est,acs_total_foreign_born_est,acs_pct_foreign_born,acs_foreign_born_naturalized_est,acs_pct_naturalized,acs_noncitizen_est,acs_pct_noncitizen,cd_traffic_arrests_count
101,74168.75334,42689165.29,7950000US3603810,Manhattan Community District 1,"Battery Park City, Greenwich Village & Soho",155694,28.2,96.5,77.2,2.5,0.1,15.3,0,1.3,3.5,7.2,71.8,7,5.4,87.7,120233,77.22391357,35461,22.77608643,16914,10.8636171,18547,11.91246933,3
102,34130.59377,37689203.22,7950000US3603810,Manhattan Community District 2,"Battery Park City, Greenwich Village & Soho",155694,28.2,96.5,77.2,2.5,0.1,15.3,0,1.3,3.5,7.2,71.8,7,5.4,87.7,120233,77.22391357,35461,22.77608643,16914,10.8636171,18547,11.91246933,13
103,30468.3025,46879760.58,7950000US3603809,Manhattan Community District 3,"Chinatown & Lower East Side , New York",154554,66.5,95.8,43.2,10,0.6,31.1,0,11,4.2,24.1,33.5,26.5,19,54.6,101405,65.61137208,53149,34.38862792,31961,20.6795036,21188,13.70912432,39
104,67623.95169,49311795.72,7950000US3603807,Manhattan Community District 4,"Chelsea, Clinton & Midtown Business District",158185,40.9,96.9,69.7,5.7,0.4,16.9,0.1,4.1,3.1,15.8,59.1,12.3,9.1,78.6,110518,69.86629579,47667,30.13370421,22031,13.92736353,25636,16.20634068,20
105,35288.30459,43790297.77,7950000US3603807,Manhattan Community District 5,"Chelsea, Clinton & Midtown Business District",158185,40.9,96.9,69.7,5.7,0.4,16.9,0.1,4.1,3.1,15.8,59.1,12.3,9.1,78.6,110518,69.86629579,47667,30.13370421,22031,13.92736353,25636,16.20634068,19
106,43163.8358,38733647.45,7950000US3603808,Manhattan Community District 6,"Murray Hill, Gramercy & Stuyvesant Town",148806,31.6,97.6,74.7,4.6,0.1,17.1,0.1,1,2.4,7.8,68.4,7.9,5.3,86.8,113352,76.17434781,35454,23.82565219,17855,11.99884413,17599,11.82680806,25
107,39863.70136,53152823.54,7950000US3603806,Manhattan Community District 7,"Upper West Side & West Side , New York",194145,32.7,96.9,75.6,6.8,0.1,9.9,0,4.5,3.1,14.5,67.3,9.6,8.3,82.1,150562,77.55131474,43583,22.44868526,22149,11.40848335,21434,11.04020191,42
108,53927.09929,55172439.42,7950000US3603805,Manhattan Community District 8,"Upper East Side , New York",214957,25.7,97.1,80.9,2.8,0.2,10.8,0,2.3,2.9,9.9,74.3,5.5,4.8,89.7,164340,76.4524998,50617,23.5475002,24370,11.33715115,26247,12.21034905,8
109,34958.00458,41898033.02,7950000US3603802,Manhattan Community District 9,"Hamilton Heights, Manhattanville & West Harlem",131080,71,89.4,39.4,24.3,0.5,8.7,0.1,16.5,10.6,39.2,29,22.9,20.4,56.8,86925,66.31446445,44155,33.68553555,20214,15.42111688,23941,18.26441868,36
110,35825.2519,39084763.24,7950000US3603803,Manhattan Community District 10,"Central Harlem , New York",136089,85.5,95.2,20.4,58.8,0.2,3.7,0.1,12,4.8,23.9,14.5,24.1,18.1,57.9,104225,76.58591069,31864,23.41408931,16246,11.93777601,15618,11.47631329,40
