,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
162,226021251,03/24/2021,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,Q,104,0,18-24,M,WHITE HISPANIC,1010959,194469,40.70041716100008,-73.90367607799999,POINT (-73.90367607799999 40.70041716100008)
168,226249094,03/29/2021,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,B,42,0,18-24,M,BLACK,1012759,241355,40.82910141800004,-73.89698557799994,POINT (-73.89698557799994 40.82910141800004)
182,225834738,03/19/2021,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,B,45,0,25-44,M,ASIAN / PACIFIC ISLANDER,1032091,241976,40.83072232800004,-73.82712605899997,POINT (-73.82712605899997 40.83072232800004)
192,225687283,03/16/2021,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,S,123,0,65+,M,WHITE,931853,129922,40.523134552000045,-74.18846889599996,POINT (-74.18846889599996 40.523134552000045)
273,224855658,02/25/2021,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL05110MU,M,B,41,0,25-44,M,BLACK HISPANIC,1011758,238809,40.82211655000003,-73.90061307699995,POINT (-73.90061307699995 40.82211655000003)
300,225895534,03/21/2021,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,14,0,18-24,M,ASIAN / PACIFIC ISLANDER,987147,215280,40.75757811200003,-73.98954452399995,POINT (-73.98954452399995 40.75757811200003)
303,226172571,03/26/2021,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,28,97,25-44,M,BLACK HISPANIC,998950,232870,40.80584625200004,-73.946902289,POINT (-73.946902289 40.80584625200004)
332,224990954,03/01/2021,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,B,44,0,25-44,M,BLACK,1008292,241571,40.82970756500004,-73.91312607799993,POINT (-73.91312607799993 40.829707565000035)
372,224990981,03/01/2021,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,B,44,0,25-44,M,BLACK HISPANIC,1006537,244511,40.83778161800007,-73.91945797099999,POINT (-73.91945797099999 40.83778161800007)
397,225362899,03/09/2021,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL05110MU,M,Q,108,0,25-44,M,WHITE HISPANIC,1002146,210693,40.74497032300008,-73.93541679999998,POINT (-73.93541679999998 40.744970323000075)
